user_id,age_group,device_type,input_mode,task_type,error_count,task_completion_time_sec,user_satisfaction_score,needs_assistance_flag
183,30-45,Feature Phone,Touch,Make Payment,2,77,4,1
184,45-60,Smartwatch,Haptic,Transfer Money,0,108,1,1
185,18-30,Feature Phone,Haptic,Make Payment,1,79,6,1
186,18-30,Feature Phone,Voice,Transfer Money,4,112,7,1
187,30-45,Feature Phone,Haptic,Transfer Money,0,114,1,1
188,45-60,Smartphone,Haptic,Make Payment,2,86,6,1
189,45-60,Feature Phone,Haptic,Make Payment,1,67,3,1
190,30-45,Smartphone,Touch,Check Balance,4,59,7,1
191,45-60,Smartphone,Haptic,Check Balance,2,36,2,0
192,45-60,Feature Phone,Haptic,Transfer Money,4,112,2,1
193,18-30,Feature Phone,Touch,Transfer Money,1,40,4,0
194,45-60,Smartwatch,Touch,Transfer Money,1,113,8,1
195,45-60,Feature Phone,Touch,Check Balance,2,89,3,1
196,30-45,Smartwatch,Touch,Make Payment,4,95,8,1
197,30-45,Feature Phone,Haptic,Make Payment,3,116,7,1
198,60+,Feature Phone,Haptic,Check Balance,0,110,5,1
199,18-30,Feature Phone,Haptic,Make Payment,1,89,4,1
200,45-60,Feature Phone,Voice,Make Payment,4,79,2,1
201,45-60,Smartwatch,Touch,Make Payment,2,61,9,1
202,60+,Smartwatch,Haptic,Check Balance,2,48,4,0
203,45-60,Feature Phone,Haptic,Transfer Money,1,118,5,1
204,18-30,Feature Phone,Haptic,Make Payment,1,38,2,0
205,60+,Smartwatch,Touch,Make Payment,3,55,2,1
206,18-30,Smartphone,Touch,Transfer Money,2,73,2,1
207,60+,Smartphone,Touch,Make Payment,4,96,2,1
208,60+,Smartphone,Haptic,Make Payment,0,14,9,0
209,30-45,Smartwatch,Touch,Transfer Money,0,116,5,1
210,18-30,Smartwatch,Haptic,Check Balance,3,16,6,1
211,45-60,Smartphone,Voice,Check Balance,4,45,4,1
212,45-60,Smartphone,Touch,Make Payment,0,7,2,0
213,18-30,Feature Phone,Touch,Make Payment,0,69,3,1
214,45-60,Smartwatch,Haptic,Transfer Money,4,105,3,1
215,45-60,Smartwatch,Touch,Transfer Money,4,44,8,1
216,18-30,Smartphone,Touch,Make Payment,1,117,8,1
217,60+,Smartphone,Haptic,Make Payment,0,69,6,1
218,18-30,Smartwatch,Haptic,Check Balance,0,81,8,1
219,60+,Feature Phone,Haptic,Check Balance,3,106,3,1
220,45-60,Smartphone,Voice,Check Balance,1,83,7,1
221,45-60,Smartwatch,Haptic,Check Balance,1,75,5,1
222,45-60,Smartwatch,Touch,Transfer Money,0,34,9,0
223,30-45,Feature Phone,Voice,Check Balance,2,92,9,1
224,60+,Feature Phone,Haptic,Check Balance,2,76,5,1
225,30-45,Smartphone,Voice,Make Payment,4,71,6,1
226,30-45,Smartphone,Voice,Check Balance,1,83,1,1
227,18-30,Smartphone,Touch,Make Payment,0,104,4,1
228,30-45,Smartwatch,Voice,Make Payment,0,109,1,1
229,18-30,Smartphone,Haptic,Check Balance,0,47,4,0
230,18-30,Smartwatch,Voice,Check Balance,3,57,1,1
231,30-45,Smartphone,Voice,Make Payment,2,82,4,1
232,60+,Feature Phone,Touch,Transfer Money,3,95,6,1
233,60+,Feature Phone,Touch,Make Payment,0,34,9,0
234,60+,Smartwatch,Haptic,Transfer Money,0,45,2,0
235,60+,Feature Phone,Touch,Transfer Money,1,48,2,0
236,60+,Smartwatch,Haptic,Check Balance,1,41,6,0
237,30-45,Smartwatch,Haptic,Check Balance,2,10,6,0
238,30-45,Feature Phone,Touch,Check Balance,4,87,3,1
239,45-60,Smartwatch,Voice,Check Balance,0,41,2,0
240,60+,Feature Phone,Touch,Make Payment,1,5,3,0
241,30-45,Smartphone,Voice,Transfer Money,2,93,4,1
242,45-60,Smartphone,Voice,Make Payment,3,14,4,1
243,60+,Feature Phone,Haptic,Transfer Money,0,114,7,1
244,18-30,Feature Phone,Haptic,Make Payment,4,30,4,1
245,45-60,Feature Phone,Touch,Transfer Money,2,91,6,1
246,30-45,Feature Phone,Voice,Check Balance,4,21,6,1
247,18-30,Smartphone,Touch,Transfer Money,0,68,3,1
248,18-30,Smartwatch,Haptic,Check Balance,2,98,9,1
249,18-30,Smartwatch,Voice,Transfer Money,1,31,5,0
250,45-60,Smartphone,Touch,Make Payment,4,79,9,1
251,30-45,Smartwatch,Touch,Transfer Money,3,72,6,1
252,18-30,Smartphone,Haptic,Make Payment,3,22,6,1
253,60+,Smartwatch,Haptic,Make Payment,4,87,9,1
254,18-30,Feature Phone,Haptic,Check Balance,0,104,5,1
255,18-30,Feature Phone,Haptic,Transfer Money,0,112,3,1
256,45-60,Feature Phone,Touch,Make Payment,0,114,3,1
257,45-60,Smartphone,Haptic,Transfer Money,3,54,2,1
258,30-45,Smartphone,Haptic,Check Balance,3,94,2,1
259,60+,Smartwatch,Touch,Check Balance,1,69,6,1
260,45-60,Smartwatch,Touch,Transfer Money,0,24,8,0
261,18-30,Smartwatch,Voice,Make Payment,3,66,8,1
262,30-45,Smartphone,Touch,Make Payment,3,79,8,1
263,18-30,Smartwatch,Voice,Make Payment,0,63,7,1
264,18-30,Feature Phone,Haptic,Transfer Money,0,29,2,0
265,45-60,Smartwatch,Voice,Make Payment,3,87,2,1
266,30-45,Feature Phone,Voice,Make Payment,4,100,7,1
267,60+,Smartphone,Haptic,Make Payment,3,69,4,1
268,60+,Feature Phone,Haptic,Check Balance,1,69,6,1
269,45-60,Feature Phone,Haptic,Make Payment,2,71,9,1
270,45-60,Feature Phone,Voice,Transfer Money,0,62,5,1
271,30-45,Smartphone,Touch,Transfer Money,1,114,4,1
272,60+,Smartphone,Touch,Make Payment,4,44,3,1
273,60+,Smartphone,Touch,Transfer Money,2,100,7,1
274,60+,Smartphone,Haptic,Transfer Money,3,51,7,1
275,18-30,Smartwatch,Haptic,Make Payment,0,104,7,1
276,60+,Smartphone,Touch,Check Balance,3,47,5,1
277,18-30,Feature Phone,Haptic,Make Payment,1,12,8,0
278,30-45,Smartphone,Voice,Transfer Money,0,98,2,1
279,18-30,Smartwatch,Voice,Transfer Money,3,107,4,1
280,30-45,Smartwatch,Haptic,Make Payment,0,66,1,1
281,60+,Smartwatch,Touch,Transfer Money,1,38,6,0
282,60+,Feature Phone,Touch,Check Balance,3,12,6,1
283,30-45,Smartphone,Voice,Make Payment,2,29,3,0
284,45-60,Smartphone,Haptic,Transfer Money,4,30,1,1
285,30-45,Smartphone,Touch,Check Balance,3,95,5,1
286,45-60,Feature Phone,Touch,Transfer Money,0,58,1,0
287,18-30,Feature Phone,Haptic,Check Balance,3,87,3,1
288,18-30,Smartwatch,Haptic,Transfer Money,0,91,8,1
289,18-30,Smartwatch,Touch,Make Payment,1,45,9,0
290,60+,Smartphone,Haptic,Transfer Money,4,84,3,1
291,18-30,Feature Phone,Haptic,Make Payment,0,76,9,1
292,45-60,Feature Phone,Haptic,Check Balance,3,67,7,1
293,18-30,Smartphone,Touch,Check Balance,1,98,8,1
294,30-45,Smartphone,Voice,Transfer Money,2,76,6,1
295,30-45,Smartwatch,Haptic,Make Payment,3,79,5,1
296,60+,Smartwatch,Touch,Make Payment,4,11,8,1
297,30-45,Smartwatch,Voice,Check Balance,1,89,2,1
298,45-60,Smartphone,Touch,Check Balance,3,102,7,1
299,18-30,Smartphone,Touch,Transfer Money,0,89,1,1
300,60+,Smartwatch,Touch,Check Balance,0,73,7,1
301,18-30,Smartwatch,Voice,Check Balance,0,54,6,0
302,18-30,Feature Phone,Touch,Make Payment,3,47,4,1
303,45-60,Feature Phone,Voice,Make Payment,4,21,3,1
304,30-45,Smartwatch,Haptic,Make Payment,0,25,9,0
305,30-45,Smartwatch,Voice,Check Balance,3,10,6,1
306,18-30,Feature Phone,Touch,Transfer Money,3,113,6,1
307,60+,Smartwatch,Voice,Transfer Money,4,75,1,1
308,30-45,Feature Phone,Touch,Check Balance,1,79,5,1
309,60+,Feature Phone,Haptic,Transfer Money,1,86,7,1
310,30-45,Feature Phone,Voice,Check Balance,3,42,4,1
311,60+,Smartphone,Haptic,Transfer Money,1,67,2,1
312,45-60,Smartphone,Voice,Check Balance,2,16,9,0
313,60+,Smartwatch,Touch,Make Payment,4,26,6,1
314,45-60,Feature Phone,Voice,Transfer Money,3,7,9,1
315,45-60,Smartphone,Haptic,Make Payment,1,23,8,0
316,60+,Smartwatch,Voice,Make Payment,1,47,1,0
317,45-60,Smartwatch,Haptic,Transfer Money,4,91,2,1
318,18-30,Smartwatch,Haptic,Check Balance,0,102,2,1
319,45-60,Smartwatch,Touch,Make Payment,1,71,2,1
320,30-45,Smartwatch,Voice,Make Payment,4,91,4,1
321,60+,Feature Phone,Haptic,Check Balance,0,117,7,1
322,18-30,Smartwatch,Touch,Check Balance,3,9,7,1
323,60+,Feature Phone,Touch,Transfer Money,0,33,1,0
324,30-45,Smartphone,Touch,Transfer Money,1,102,8,1
325,30-45,Smartwatch,Haptic,Check Balance,3,112,4,1
326,30-45,Smartphone,Voice,Make Payment,3,9,8,1
327,45-60,Feature Phone,Haptic,Check Balance,0,97,9,1
328,45-60,Feature Phone,Touch,Transfer Money,3,49,7,1
329,60+,Smartphone,Haptic,Make Payment,0,58,3,0
330,60+,Smartwatch,Haptic,Make Payment,0,28,3,0
331,18-30,Smartwatch,Touch,Transfer Money,0,107,5,1
332,18-30,Smartphone,Voice,Make Payment,4,25,7,1
333,60+,Smartphone,Touch,Check Balance,1,36,7,0
334,45-60,Smartphone,Touch,Transfer Money,3,111,9,1
335,30-45,Smartwatch,Haptic,Make Payment,2,9,1,0
336,60+,Smartwatch,Touch,Transfer Money,1,66,3,1
337,18-30,Smartwatch,Haptic,Make Payment,2,22,1,0
338,45-60,Smartphone,Touch,Check Balance,0,106,6,1
339,60+,Smartwatch,Touch,Transfer Money,3,39,7,1
340,60+,Feature Phone,Voice,Make Payment,1,106,2,1
341,45-60,Smartphone,Touch,Check Balance,2,84,9,1
342,60+,Smartwatch,Voice,Check Balance,2,103,5,1
343,45-60,Smartphone,Touch,Check Balance,2,118,3,1
344,30-45,Feature Phone,Touch,Make Payment,1,92,7,1
345,45-60,Feature Phone,Touch,Make Payment,4,104,7,1
346,45-60,Smartphone,Voice,Check Balance,0,9,1,0
347,45-60,Smartphone,Haptic,Check Balance,3,13,6,1
348,60+,Feature Phone,Voice,Check Balance,2,8,3,0
349,60+,Smartphone,Touch,Check Balance,1,37,7,0
350,45-60,Feature Phone,Haptic,Check Balance,2,95,5,1
351,60+,Feature Phone,Touch,Make Payment,1,26,4,0
352,18-30,Smartwatch,Voice,Transfer Money,4,63,7,1
353,18-30,Smartphone,Voice,Transfer Money,2,15,7,0
354,60+,Smartphone,Haptic,Transfer Money,2,73,8,1
355,60+,Smartwatch,Voice,Make Payment,3,14,5,1
356,45-60,Feature Phone,Touch,Transfer Money,1,7,4,0
357,30-45,Smartphone,Haptic,Transfer Money,1,19,1,0
358,60+,Smartwatch,Touch,Transfer Money,4,114,4,1
359,18-30,Smartwatch,Haptic,Transfer Money,2,41,1,0
360,45-60,Smartphone,Haptic,Check Balance,3,44,7,1
361,60+,Smartwatch,Touch,Make Payment,0,21,6,0
362,18-30,Feature Phone,Voice,Transfer Money,3,24,7,1
363,18-30,Smartwatch,Touch,Check Balance,3,119,8,1
364,30-45,Feature Phone,Voice,Transfer Money,3,8,6,1
365,45-60,Feature Phone,Voice,Transfer Money,3,102,2,1
366,45-60,Smartphone,Touch,Transfer Money,2,38,2,0
367,30-45,Smartwatch,Haptic,Transfer Money,3,99,9,1
368,30-45,Feature Phone,Touch,Transfer Money,1,38,6,0
369,45-60,Feature Phone,Haptic,Check Balance,1,71,6,1
370,45-60,Smartwatch,Voice,Transfer Money,3,32,1,1
371,60+,Feature Phone,Haptic,Check Balance,1,109,8,1
372,60+,Smartwatch,Touch,Transfer Money,2,105,8,1
373,30-45,Smartphone,Haptic,Make Payment,0,97,4,1
374,60+,Feature Phone,Voice,Check Balance,3,83,7,1
375,18-30,Feature Phone,Voice,Transfer Money,1,40,9,0
376,60+,Smartwatch,Haptic,Check Balance,1,39,1,0
377,60+,Smartwatch,Voice,Transfer Money,2,45,5,0
378,18-30,Smartwatch,Voice,Transfer Money,2,63,8,1
379,30-45,Smartwatch,Haptic,Check Balance,0,78,7,1
380,18-30,Feature Phone,Voice,Transfer Money,4,21,4,1
381,60+,Smartphone,Haptic,Transfer Money,4,34,3,1
382,30-45,Smartphone,Haptic,Transfer Money,4,58,1,1
383,60+,Smartphone,Voice,Transfer Money,0,56,3,0
384,18-30,Smartphone,Haptic,Transfer Money,3,76,2,1
385,18-30,Smartwatch,Voice,Transfer Money,4,27,5,1
386,60+,Feature Phone,Voice,Check Balance,4,23,1,1
387,45-60,Feature Phone,Voice,Make Payment,1,41,4,0
388,45-60,Feature Phone,Touch,Transfer Money,1,63,8,1
389,18-30,Smartwatch,Voice,Check Balance,3,111,9,1
390,18-30,Feature Phone,Haptic,Make Payment,2,40,1,0
391,45-60,Smartwatch,Haptic,Check Balance,0,72,3,1
392,45-60,Feature Phone,Haptic,Make Payment,4,30,6,1
393,60+,Smartphone,Touch,Make Payment,0,115,5,1
394,60+,Smartwatch,Touch,Make Payment,1,108,1,1
395,45-60,Feature Phone,Haptic,Check Balance,0,31,2,0
396,60+,Smartphone,Haptic,Make Payment,1,81,2,1
397,60+,Smartphone,Touch,Transfer Money,0,66,7,1
398,30-45,Smartphone,Haptic,Transfer Money,1,66,6,1
399,60+,Smartwatch,Voice,Make Payment,0,56,6,0
400,18-30,Smartwatch,Voice,Make Payment,4,48,1,1
401,60+,Feature Phone,Haptic,Transfer Money,4,102,1,1
402,60+,Smartphone,Voice,Check Balance,3,37,4,1
403,45-60,Feature Phone,Haptic,Check Balance,0,114,6,1
404,18-30,Feature Phone,Touch,Transfer Money,2,94,6,1
405,60+,Smartphone,Haptic,Check Balance,3,88,5,1
406,60+,Feature Phone,Touch,Check Balance,0,67,4,1
407,30-45,Smartwatch,Voice,Make Payment,2,76,2,1
408,60+,Feature Phone,Voice,Check Balance,4,84,7,1
409,60+,Smartphone,Voice,Transfer Money,4,73,6,1
410,30-45,Smartwatch,Haptic,Check Balance,4,38,7,1
411,45-60,Smartwatch,Touch,Make Payment,2,115,3,1
412,60+,Feature Phone,Touch,Transfer Money,1,31,1,0
413,30-45,Feature Phone,Voice,Transfer Money,0,40,1,0
414,18-30,Smartwatch,Voice,Transfer Money,3,8,4,1
415,45-60,Feature Phone,Touch,Make Payment,3,110,4,1
416,18-30,Smartphone,Haptic,Transfer Money,4,57,7,1
417,18-30,Feature Phone,Voice,Make Payment,1,118,7,1
418,30-45,Feature Phone,Haptic,Make Payment,0,75,4,1
419,60+,Smartwatch,Voice,Check Balance,0,41,7,0
420,30-45,Feature Phone,Voice,Transfer Money,3,104,8,1
421,30-45,Feature Phone,Haptic,Check Balance,3,92,9,1
422,30-45,Feature Phone,Haptic,Check Balance,3,83,6,1
423,30-45,Smartphone,Haptic,Make Payment,0,54,4,0
424,45-60,Feature Phone,Haptic,Check Balance,3,117,2,1
425,60+,Smartphone,Touch,Check Balance,0,74,9,1
426,18-30,Smartphone,Touch,Check Balance,4,30,7,1
427,18-30,Smartphone,Voice,Transfer Money,1,94,6,1
428,60+,Smartphone,Voice,Check Balance,3,29,4,1
429,18-30,Smartwatch,Voice,Make Payment,0,37,4,0
430,60+,Smartphone,Touch,Transfer Money,4,71,2,1
431,18-30,Feature Phone,Haptic,Make Payment,2,77,1,1
432,30-45,Smartphone,Voice,Transfer Money,4,41,5,1
433,18-30,Feature Phone,Touch,Transfer Money,1,42,6,0
434,60+,Smartphone,Voice,Transfer Money,4,98,9,1
435,60+,Smartwatch,Touch,Make Payment,3,31,1,1
436,60+,Smartphone,Haptic,Check Balance,3,17,5,1
437,60+,Smartphone,Touch,Transfer Money,2,27,5,0
438,60+,Smartwatch,Haptic,Make Payment,0,71,9,1
439,45-60,Smartphone,Voice,Transfer Money,4,91,4,1
440,45-60,Feature Phone,Haptic,Check Balance,2,103,3,1
441,18-30,Smartphone,Touch,Transfer Money,3,92,3,1
442,60+,Smartphone,Voice,Make Payment,0,59,6,0
443,18-30,Smartphone,Voice,Transfer Money,0,41,1,0
444,60+,Smartwatch,Touch,Make Payment,1,16,1,0
445,60+,Smartphone,Haptic,Check Balance,3,58,1,1
446,45-60,Smartphone,Touch,Check Balance,0,24,7,0
447,45-60,Feature Phone,Haptic,Transfer Money,1,22,5,0
